Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-12573,26-02-2022,01-03-2022,Linda Walker,Home Office,West,Office Supplies,Art,258.94,2,0,51.77
ORD-10882,19-05-2022,21-05-2022,Tom Clark,Consumer,Central,Office Supplies,Labels,56.77,1,0.15,16.25
ORD-14536,20-05-2024,25-05-2024,Tom Martinez,Home Office,East,Office Supplies,Binders,718.29,5,0.1,134.46
ORD-10413,10-08-2023,14-08-2023,John Khan,Consumer,East,Office Supplies,Art,15.23,1,0.2,1.78
ORD-14038,25-11-2024,28-11-2024,Sara Young,Home Office,West,Office Supplies,Paper,323.48,4,0.5,9.75
ORD-17034,20-04-2022,27-04-2022,Sara Khan,Consumer,East,Technology,Copiers,1641.1,5,0.1,-132.04
ORD-10374,04-11-2022,06-11-2022,Anna Chen,Corporate,West,Office Supplies,Labels,365.47,3,0.15,11.94
ORD-13502,23-07-2022,25-07-2022,Anna Smith,Corporate,South,Office Supplies,Storage,41.9,1,0,11.28
ORD-15223,10-05-2024,13-05-2024,Nina Chen,Corporate,Central,Furniture,Furnishings,4741.3,5,0,130.17
ORD-17795,03-02-2023,05-02-2023,Kevin Martinez,Consumer,West,Office Supplies,Envelopes,706.5,3,0,134.44
ORD-10036,19-10-2023,23-10-2023,Anna Rodriguez,Consumer,West,Technology,Accessories,992.79,1,0.1,355.94
ORD-10345,22-09-2024,23-09-2024,Priya Davis,Corporate,East,Office Supplies,Storage,220.01,2,0.1,51.27
ORD-14200,04-07-2023,06-07-2023,James Smith,Home Office,west,Office Supplies,Binders,618.1,5,0.3,45.06
ORD-14793,13-02-2023,15-02-2023,Nina Brown,Consumer,West,Furniture,Tables,548.94,1,0,-16.28
ORD-18299,05-10-2022,06-10-2022,David Young,Corporate,South,Office Supplies,Paper,120.29,4,0.2,7.5
ORD-18729,18-05-2024,21-05-2024,Mohammed Rodriguez,Corporate,Central,Office Supplies,Art,390.32,2,0.15,59.9
ORD-18843,17-12-2024,21-12-2024,Anna Khan,Home Office,West,Office Supplies,Storage,197.82,2,0.1,28.28
ORD-13890,24-08-2023,25-08-2023,David Martinez,Consumer,East,Technology,Accessories,1087.64,2,0.15,302.9
ORD-13610,13-12-2024,17-12-2024,Wei Johnson,Home Office,East,Office Supplies,Binders,93.06,4,0.15,21.5
ORD-15214,04-04-2022,06-04-2022,John Rodriguez,Corporate,EAST,Technology,Copiers,2014.01,1,0,-108.4
ORD-15075,24-01-2022,29-01-2022,Priya Davis,Corporate,South,Office Supplies,Labels,214.36,2,0.1,52.67
ORD-10716,02-11-2022,05-11-2022,Maria Walker,Home Office,West,Technology,Phones,75.67,1,0.3,6.08
ORD-16720,15-11-2023,17-11-2023,David Walker,Consumer,WEST,Technology,Accessories,1854.16,1,0.2,99.88
ORD-11543,24-09-2022,28-09-2022,Tom Smith,Consumer,East,Office Supplies,Envelopes,593.97,3,0,138.36
ORD-18731,26-11-2024,29-11-2024,Anna Wilson,Consumer,West,Furniture,Bookcases,6046,6,0.1,732.76
ORD-10856,26-11-2024,30-11-2024,Carlos Martinez,Home Office,South,Office Supplies,Storage,121.64,3,0.4,-21.44
ORD-14233,11-12-2023,12-12-2023,Carlos Young,Consumer,West,Office Supplies,Binders,67.48,1,0.1,8.59
ORD-13318,26-08-2024,27-08-2024,Priya Johnson,Corporate,South,Office Supplies,Envelopes,845.16,4,0,114.35
ORD-15463,08-03-2022,10-03-2022,Priya Lewis,Home Office,East,Office Supplies,Paper,40.13,1,0.3,2.59
ORD-10011,17-06-2022,19-06-2022,Maria Clark,Corporate,east,Office Supplies,Labels,63.57,1,0.15,3.07
ORD-12142,15-01-2023,18-01-2023,Mohammed Brown,Consumer,East,Technology,Machines,5829.57,5,0.1,1041.31
ORD-10056,20-10-2023,23-10-2023,Maria Davis,Consumer,East,Office Supplies,Envelopes,132.66,1,0.1,12.58
ORD-18134,22-09-2023,25-09-2023,,Home Office,East,Technology,Machines,978.91,2,0.1,302.21
ORD-13215,25-06-2024,28-06-2024,John Garcia,Corporate,South,Technology,Copiers,2299.01,1,0,488.74
ORD-12610,26-06-2023,30-06-2023,Kevin Lewis,Home Office,Central,Office Supplies,Envelopes,381.93,3,0.3,-1.26
ORD-15366,05-05-2024,07-05-2024,Linda Khan,Corporate,West,Office Supplies,Storage,73.97,1,0,10.4
ORD-14392,06-06-2022,07-06-2022,Mohammed Rodriguez,Consumer,Central,Furniture,Furnishings,989.4,4,0.5,-360.51
ORD-15559,16-06-2022,17-06-2022,Linda Wilson,Home Office,West,Office Supplies,Labels,294.1,2,0,111.62
ORD-18264,01-11-2024,04-11-2024,James Brown,Consumer,West,Furniture,Chairs,548.27,3,0.3,-194.8
ORD-17101,23-05-2023,26-05-2023,Nina Davis,Home Office,West,Office Supplies,Binders,79.78,1,0.4,2.06
ORD-18042,10-10-2023,15-10-2023,Priya Brown,Corporate,East,Technology,Accessories,3259.41,5,0.3,-501.32
ORD-14474,10-07-2022,11-07-2022,Priya Rodriguez,Consumer,Central,Technology,Copiers,1732.42,1,0.15,493.86
ORD-13195,06-08-2022,07-08-2022,David Brown,Consumer,East,Office Supplies,Storage,129.63,1,0.1,9.79
ORD-16670,24-07-2022,28-07-2022,Anna Garcia,Corporate,East,Technology,Machines,4679.1,3,0.15,572.25
ORD-11673,23-04-2024,27-04-2024,David Lewis,Consumer,Central,Furniture,Chairs,783.58,1,0.15,-178.56
ORD-19338,08-10-2022,12-10-2022,Fatima Clark,Corporate,East,Office Supplies,Paper,35.76,2,0.2,-0.11
ORD-13377,10-10-2024,13-10-2024,Kevin Brown,Corporate,East,Office Supplies,Paper,559.56,3,0,89.45
ORD-14071,23-11-2023,30-11-2023,Grace Lewis,Consumer,West,Furniture,Furnishings,677.35,1,0.2,-82.85
ORD-19200,17-07-2022,18-07-2022,Priya Smith,Home Office,West,Technology,Copiers,3644.74,2,0,1309.61
ORD-12998,05-05-2024,07-05-2024,Wei Brown,Consumer,EAST,Office Supplies,Storage,297.5,5,0,109.44
ORD-11235,04-05-2024,06-05-2024,Fatima Davis,Corporate,West,Technology,Accessories,3837.88,3,0.3,115.54
ORD-13063,11-12-2024,12-12-2024,John Garcia,Consumer,West,Technology,Machines,2662.78,3,0.3,178.13
ORD-17461,19-07-2022,26-07-2022,Maria Smith,Corporate,West,Technology,Copiers,1425.89,1,0.3,-469.65
ORD-13830,18-03-2024,20-03-2024,James Lewis,Corporate,South,Office Supplies,Art,354.49,3,0.4,-31.79
ORD-16234,13-06-2024,17-06-2024,Mohammed Lee,Corporate,South,Technology,Accessories,1956.45,1,0.15,227.51
ORD-19684,26-02-2022,28-02-2022,Carlos Clark,Consumer,Central,Technology,Machines,1234.58,3,0.2,362.63
ORD-13636,20-12-2023,24-12-2023,Carlos Khan,Corporate,Central,Technology,Copiers,257.09,1,0.1,96.67
ORD-15054,09-09-2022,10-09-2022,,Consumer,South,Office Supplies,Labels,53.57,1,0.15,-2.84
ORD-16556,16-09-2023,20-09-2023,Carlos Lee,Corporate,West,Office Supplies,Binders,201.17,1,0.15,10.22
ORD-18127,21-12-2022,22-12-2022,Nina Smith,Corporate,East,Office Supplies,Art,58.27,2,0.1,4.77
ORD-16220,09-04-2024,12-04-2024,Maria Davis,Consumer,Central,Technology,Phones,998.2,2,0,284.08
ORD-11915,25-11-2024,28-11-2024,Maria Lewis,Corporate,East,Technology,Copiers,2653.44,5,0.15,1132.86
ORD-11682,04-03-2022,07-03-2022,Nina Smith,Consumer,West,Technology,Machines,1704.09,3,0,314.28
ORD-17921,14-01-2022,19-01-2022,Wei Rodriguez,Corporate,East,Office Supplies,Paper,1065.54,6,0,252.2
ORD-11421,07-07-2024,11-07-2024,John Patel,Consumer,West,Technology,Machines,1005.14,1,0.15,249.78
ORD-12715,17-04-2024,19-04-2024,David Johnson,Consumer,West,Technology,Accessories,2660.94,2,0,861.7
ORD-19091,20-06-2022,21-06-2022,Priya Rodriguez,Consumer,East,Technology,Copiers,1968.73,1,0,154.82
ORD-15069,27-08-2022,28-08-2022,Grace Davis,Consumer,West,Furniture,Tables,651.72,3,0,-1.84
ORD-13809,10-01-2024,13-01-2024,Wei Brown,Corporate,East,Office Supplies,Paper,238.03,1,0,52.6
ORD-13936,13-11-2023,18-11-2023,David Patel,Consumer,east,Technology,Phones,8028.16,4,0,1186.09
ORD-19621,08-11-2024,15-11-2024,Mohammed Davis,Corporate,East,Furniture,Tables,2326.35,4,0.15,-520.31
ORD-10412,17-04-2024,20-04-2024,Linda Brown,Home Office,Central,Office Supplies,Paper,202.08,2,0.4,2.69
ORD-17117,21-06-2023,22-06-2023,Priya Clark,Home Office,West,Office Supplies,Paper,267.09,3,0,29.55
ORD-12321,16-08-2022,17-08-2022,Kevin Patel,Consumer,Central,Technology,Machines,1117.07,2,0.2,354.06
